interwencja;p.stresu;plec;mniejszosc;studia;partner;zamieszkanie;praca;alkohol;wiek
0;16;1;0;1;0;0;1;1;31
0;14;0;0;1;1;1;1;1;60
0;12;0;0;1;0;2;1;0;58
0;17;1;0;1;1;0;1;0;49
0;10;0;0;0;1;1;1;0;58
0;18;1;0;1;1;0;1;1;52
0;11;0;0;0;1;0;1;1;58
0;15;0;0;1;0;2;1;0;78
0;12;0;0;0;1;0;1;0;72
0;26;1;0;1;0;0;1;1;32
0;14;1;0;1;1;0;1;0;35
0;19;1;0;0;1;0;1;1;59
0;10;0;0;1;1;0;1;0;65
0;11;0;0;0;0;2;1;0;46
0;10;0;0;1;1;0;0;0;35
0;10;1;0;1;0;0;0;0;60
0;14;0;0;1;1;0;1;0;38
0;16;0;0;0;1;1;1;1;51
0;13;1;0;0;0;0;0;0;71
1;11;0;0;0;0;0;1;0;57
1;21;1;0;1;1;2;1;1;32
0;19;0;0;0;1;2;1;1;55
0;24;1;0;1;0;1;1;0;68
0;22;0;0;1;1;1;1;1;39
0;23;1;0;1;0;0;1;1;49
1;11;0;0;0;0;0;1;0;63
0;10;1;0;1;1;0;1;1;65
0;22;1;1;0;1;2;1;0;69
0;32;0;0;0;1;0;1;0;54
0;15;0;0;1;1;1;0;0;31
1;26;1;0;0;1;1;1;1;48
0;12;1;0;1;0;2;1;1;57
0;29;0;0;0;1;0;1;1;32
0;14;0;0;0;0;0;1;0;70
0;10;1;0;1;1;2;1;1;38
0;20;0;0;1;1;0;1;0;32
0;11;0;0;1;1;0;1;1;41
1;17;0;0;1;1;0;0;0;47
0;8;0;0;1;0;2;1;1;41
0;18;0;0;1;1;2;1;0;46
0;15;1;0;1;0;1;1;1;79
0;10;0;0;0;0;1;1;1;71
0;15;1;0;1;0;1;1;1;60
0;14;0;0;1;0;0;1;1;52
0;16;1;0;0;0;0;1;1;59
0;19;0;0;1;0;1;1;1;74
0;15;0;0;1;0;0;1;1;39
0;10;0;0;1;1;2;1;0;50
0;17;1;0;1;1;0;1;1;31
0;15;1;0;1;1;0;1;0;57
0;10;1;0;0;1;0;1;0;38
0;9;0;0;1;1;0;1;1;46
0;10;1;0;1;1;0;1;0;42
1;14;1;0;1;0;0;1;1;56
0;12;1;0;1;1;0;1;1;77
0;15;0;0;0;1;0;1;0;47
0;14;1;0;0;1;2;1;0;53
0;13;0;0;0;1;1;1;1;79
0;9;0;0;0;1;0;1;1;64
0;17;0;0;1;1;0;1;0;46
1;21;0;0;1;1;0;1;0;49
0;23;1;0;0;1;1;1;1;60
0;16;0;0;0;1;0;1;0;65
0;10;0;0;0;1;2;1;1;58
0;10;0;0;0;0;0;1;0;49
0;10;0;0;1;1;1;1;0;44
0;10;1;0;1;1;0;1;1;61
0;19;0;0;1;1;2;1;0;31
0;17;1;0;0;1;0;1;1;66
0;15;0;0;1;1;0;1;1;51
0;25;0;0;0;1;0;1;0;40
1;20;0;0;1;1;0;1;0;48
0;13;0;0;1;1;0;1;1;61
0;9;1;0;1;1;2;0;0;37
0;24;0;0;1;0;0;1;0;38
0;11;0;0;0;1;2;1;0;62
0;22;0;0;0;1;0;1;0;34
0;19;0;0;1;1;0;1;1;30
0;11;0;0;0;1;0;1;0;58
0;12;0;0;1;1;0;1;0;60
0;10;1;0;1;1;0;1;1;52
0;12;0;0;0;0;1;1;0;72
0;10;0;0;0;1;0;1;1;69
1;16;1;0;1;1;0;1;1;44
0;22;0;0;0;1;2;1;1;62
0;16;0;0;1;0;0;1;1;36
0;13;1;0;0;0;1;1;1;76
0;17;1;0;0;1;0;1;0;76
0;15;1;0;0;1;0;1;0;49
0;16;1;0;1;0;1;1;1;44
0;14;0;0;1;0;0;1;1;32
0;22;1;0;1;1;0;1;0;47
0;12;0;0;1;1;1;0;0;36
0;15;1;0;0;1;0;1;1;75
0;20;1;0;1;0;2;1;0;48
1;11;1;0;0;1;1;1;1;55
0;10;0;0;1;0;0;1;0;45
0;13;1;1;1;1;0;1;1;31
0;32;1;0;1;0;0;1;1;55
0;14;1;0;0;0;0;1;1;66
0;25;0;0;1;0;1;1;1;73
0;14;0;0;1;1;0;1;1;57
0;11;1;0;0;0;0;1;0;62
0;10;1;0;1;1;2;1;0;37
0;9;1;0;0;0;0;1;1;55
0;10;0;0;0;1;0;1;0;77
0;10;0;0;0;1;0;1;1;53
0;10;1;0;0;1;2;1;1;64
